Message ID;Content_en;Content_de;Content_it;Content_nl;info;MPAM;weekly;daily;difficulty;purpose;activity;category;Video_it;Video_nl
221;Can you think of any positive consequences that regular exercise could have for you?;Kannst du dir positive Konsequenzen vorstellen, die regelmäßiges Training für dich haben könnten?;Potresti elencare le conseguenze positive che l'attività fisica regolare potrebbe avere su di te?;Kun je positieve gevolgen voor jezelf bedenken van regelmatig bewegen?;low;0;;low;;;;;;
223;Just a short interval of exercise will help you to be less tired during the day.;Schon ein kurzes Trainingsintervall hilft dir, tagsüber weniger müde zu sein.;Anche qualche minuto di allenamento, ti aiuterà a sentirti meno scanco durante il giorno.;Een korte beweegpauze zal je helpen om overdag minder moe te zijn.;low;0;;low;;;;;;
232;Even small amounts of exercise every day are shown to significantly reduce the risk of heart disease!;Selbst kleine Mengen an Bewegung pro Tag reduzieren nachweislich das Risiko für Herzerkrankungen erheblich!;E' stato dimostrato che, anche facendo un pò di esercizio tutti i giorni, si può ridurre significativamente il rischio di malattie cardiache!;Zelfs kleine hoeveelheden lichaamsbeweging per dag verminderen het risico op hartaandoeningen aanzienlijk!;low;0;;low;;;;;;
242;Being healthy is all about consistency, just make sure you don't give up.;Bei Gesundheit dreht sich alles um Beständigkeit, achte nur darauf, dass du nicht aufgibst.;Restare in salute è anche una questione di coerenza, non arrenderti.;Gezond zijn heeft alles te maken met consequent zijn, zorg er gewoon voor dat je niet opgeeft.;low;0;;low;;;;;;
261;Exercise cuts your chance for heart attack and stroke by 50%. Just saying. ;Kleine Anmerkung, Bewegung verringert deine Chance auf einen Herzinfarkt und Schlaganfall um 50%.;L'esercizio fisico riduce le probabilità di infarto e ictus del 50%. Solo per dire…;Regelmatig bewegen vermindert je kans op een hartaanval en beroerte met 50%. Ik bedoel maar..;low;0;;low;;;;;;
262;Exercise helps keep blood sugar, and blood pressure under control. Those who regularly work out are 3 times less likely to develop these problems.;Bewegung hilft den Blutzucker und den Blutdruck unter Kontrolle zu halten. Diejenigen, die regelmäßig trainieren, entwickeln diese Probleme 300% seltener!;L'esercizio fisico aiuta a tenere sotto controllo la glicemia e la pressione sanguigna. Chi si allena regolarmente, ha 3 volte meno probabilità di sviluppare questi problemi.;Bewegen helpt de bloedsuikerspiegel en bloeddruk onder controle te houden. Degenen die regelmatig sporten, hebben 3 keer minder kans op problemen hiermee.;low;0;;low;;;;;;
263;Your regular exercise is having positive effects on your heart. Increasing your heart rate for at least 20 minutes a day will help in the prevention of a heart attack.;Regelmäßige Bewegung wirkt sich positiv auf dein Herz aus. Wenn du deine Herzfrequenz mindestens 20 Minuten am Tag erhöhst, kannst du einem Herzinfarkt langfristig vorbeugen.;Esercitarsi regolarmente ha effetti positivi sul tuo cuore. Aumentare la frequenza cardiaca per almeno 20 minuti al giorno, ti aiuterà nella prevenzione di un infarto.;Jouw regelmatige lichaamsbeweging heeft positieve effecten op je hart. Het verhogen van uw hartslag gedurende ten minste 20 minuten per dag helpt bij het voorkomen van een hartaanval.;low;0;;low;;;;;;
267;Regular exercise is helping your lungs to become more healthy. When exercising the increase in your respirations helps to keep you lungs clear and expands your lungs and when they expand it makes them stronger like when a muscle is worked out and heals.;Regelmäßige Bewegung hilft deiner Lunge gesund zu bleiben. Wenn du trainierst, hilft die intensivere  Atmung dabei deine Lungen sauber zu halten und sie zu erweitern. Wenn sich die Lungenfläugel ausdehnen werden sie stärker, so als ob ein Muskel trainiert werden würde.;L'allenamento regolare aiuta i polmoni a diventare più sani. Durante l'esercizio fisico, l'aumento delle respirazioni aiuta a mantenere i polmoni liberi e li espande, e l'espensione li rende più forti come quando un muscolo viene allenato e si rassoda.;Regelmatige lichaamsbeweging helpt je longen om gezonder te worden. Wanneer je traint, helpt het verhogen van je ademhaling om je longen schoon te houden, ze zetten uit en worden sterker, zoals wanneer een spier wordt getraind en geneest.;low;0;;low;;;;;;
289;Excercising is a great way to relieve stress, and tension, and build confidence! Try setting aside short sessions to start! You'll thank yourself for it later!;Sport ist eine großartige Möglichkeit, um Stress und Verspannungen abzubauen und Selbstvertrauen aufzubauen! Versuche mit kurzen Einheiten zu starten! Du wirst dir später dafür danken!;L'esercizio fisico è un ottimo modo per alleviare lo stress, la tensione e per rafforzare la fiducia! Prova ad iniziare con brevi sessioni! Sarai grato a te stesso per questo!;Bewegen is een geweldige manier om stress en spanning te verlichten en vertrouwen op te bouwen! Plan korte sessies om mee te beginnen! Je zult jezelf er later voor bedanken!;low;0;;low;;;;;;
291;Don't settle for less, respect yourself and your body and give it the physical activity it craves and needs! A little bit goes a long way so you don't have to over do it!;Gib dich nicht mit weniger zufrieden, respektiere dich und deinen Körper und gib ihm die Bewegung, nach der er sich sehnt und die er braucht! ;Non accontentarti di poco, rispetta te stesso e il tuo corpo e dagli l'attività fisica che brama e di cui ha bisogno! Con poco, farai molta strada, quindi non devi esagerare!;Neem geen genoegen met minder, respecteer jezelf en je lichaam en geef het de fysieke activiteit die het verlangt en nodig heeft! Alle kleine beetje helpen dus je hoeft niet extreem veel te doen!;low;0;;low;;;;;;
299;Good work, you already managed the most important part. Now keep on going.;Gute Arbeit, du hast bereits den wichtigsten Teil geschafft! Jetzt mach weiter.;Ottimo lavoro, hai già fatto la parte più importante. Adesso continua.;Goed werk, je hebt het belangrijkste al gedaan. Blijf nu doorgaan.;;0;asg;;;;;;;
300;Congratulations on making the commitment to exercise! Your body will thank you for it!;Herzlichen Glückwunsch zum Engagement um zu trainieren! Dein Körper wird es dir danken!;Compimenti per il tuo impegno nell'esercizio fisico! Il tuo corpo ti ringrazierà per questo!;Gefeliciteerd met de afspraak met jezelf om regelmatig te bewegen! Je lichaam zal je er dankbaar voor zijn!;;0;asg;;;;;;;
301;You made such a great choice and commited! You're such an inspiration for other's to follow in your foot steps! Way to go!;Du hast eine gute Wahl getroffen und dich verpflichtet mehr Bewegung zu machen! Du bist eine Inspiration für andere, gut gemacht!;Hai fatto un'ottima scelta e ti sei impegnato! Sei davvero una fonte d'ispirazione per gli altri! Ben fatto!;Je hebt een geweldige keuze gemaakt en je eraan toegewijd! Je bent een inspiratie voor anderen om in jouw voetstappen te volgen! Goed gedaan!;;0;asg;;;;;;;
303;Why stop now? You have already achieved so much.;Warum jetzt aufhören? Du hast schon so viel erreicht.;Prova a non fermarti proprio adesso! Hai già ottenuto così tanto.;Waarom nu stoppen? Je hebt al zoveel bereikt.;;0;dsn;;;;;;;
306;You've gotten this far, let's not let all the hard work go to waste and persevere.;Du bist so weit gekommen, lass nicht die ganze harte Arbeit umsonst gewesen sein und halte durch.;Sei proprio a buon punto, non lasciare che tutto il duro lavoro vada sprecato e persevera.;Je bent zo ver gekomen, laten we niet al het harde werk verspillen en volhouden.;;0;dsn;;;;;;;
309;If you don't want to have to start over, don't quit.;Wenn du nicht von vorne beginnen möchten höre nicht auf!;Cerca di non mollare, altrimenti rischi di dover iniziare tutto da capo!;Als je niet helemaal opnieuw wilt beginnen, stop dan niet.;;0;dsn;;;;;;;
325;Maybe you got off track, but this week get right back out there!;Vielleicht bist du nicht ganz im Plan, aber diese Woche holst du alles wieder auf!;Forse sei andato fuori pista, ma questa settimana puoi recuparare!;Je zit misschien niet helemaal meer op schema, maar ga toch deze week gewoon weer aan de slag!;;0;dsn;;;;;;;
328;You have come so far already, don't give up now.;Du bist schon so weit gekommen, gib jetzt nicht auf!;Sei già molto avanti, non arrenderti ora.;Je bent al zo ver gekomen, geef nu niet op.;;0;dsn;;;;;;;
346;70% of people that start a fitness plan quit. Except you! Not this time!;70% der Menschen, die einen Fitnessplan starten, geben auf. Außer dir! Dieses Mal nicht!;Il 70% delle persone che iniziano un programma di allenamento, lo interrompono. Tranne te! Non questa volta!;70% van de mensen die met een beweegplan beginnen, stopt. Behalve jij! Niet deze keer!;;0;;neg;;;;;;
347;Don't let yourself get old and regret not taking care of your body and your health. Keep at it every day and remember what you're working for.;Lass nicht die Zeit vergehen und bereue es dann, nicht auf deinen Körper und deine Gesundheit geachtet zu haben. Bleibe jeden Tag dran und denke daran, wofür du arbeitest.;Non far passare gli anni rimpiangendo di non aver avuto cura del tuo corpo e della tua salute. Prova ad essere costante, e ricorda quanto è utile ciò che stai facendo.;Laat jezelf niet oud worden en er spijt van krijgen dat je niet goed voor je lichaam en gezondheid hebt gezorgd. Blijf er elke dag mee bezig en onthoud waar je het voor doet.;;0;;neg;;;;;;
349;In 10 years, will you be glad you watched television, or upset that you didn't exercise?;Wirst du in 10 Jahren froh sein, dass du ferngesehen hast oder dich darüber ärgern, dass du nicht trainiert hast?;Tra 10 anni sarai soddisfatto dell'attività fisica fatta e del bilanciamento di questa con le attività sedentarie?;Ben je over 10 jaar blij dat je tv hebt gekeken of heb je spijt dat je niet bent gaan bewegen?;;0;;neg;;;;;;
359;Get out there and do it. If you wait for the perfect conditions it'll never get done.;Geh raus und mach es. Wenn du auf die perfekten Bedingungen wartest, wird es nie etwas.;Prendi coraggio e attivati subito! Non puoi aspettare che le condizioni siano perfette.;Ga erop uit en doe het. Als je wacht op de perfecte omstandigheden, zal het nooit gebeuren.;;0;neg;;;;;;;
370;Remember, progress is progress no matter how big or small.;Denk daran, Fortschritt ist Fortschritt, egal wie groß oder klein.;Ricorda, qualsiasi progresso è importante, piccolo o grande che sia. Tienilo a mente.;Onthoud dat vooruitgang vooruitgang is, hoe groot of klein ook.;;0;neg;;;;;;;
373;You didn't reach the goal this time, but it's all about consistency. Keep exercising!;Diesmal hast du das Ziel nicht erreicht, aber es geht um Beständigkeit. Trainiere weiter!;Non hai raggiunto l'obiettivo questa volta, ma l'importante è la costanza. Continua ad esercitarti!;Je hebt deze keer het doel niet bereikt, maar het draait allemaal om consequent zijn. Blijf oefenen!;;0;neg;;;;;;;
383;You still lapped everybody on the couch.;Du hast immer noch alle überholt die auf die Couch liegen.;Stai facendo meglio di chi continua ad esser sedentario!;Je hebt nog steeds iedereen die op de bank zit verslagen.;;0;neg;;;;;;;
384;So you didn't meet your intensity goal for the week, there's always a new week.;Du hast dein Ziel für die Woche nicht erreicht, keine Sorge, es gibt immer eine neue Woche.;Anche se questa volta non hai raggiunto il tuo obiettivo settimanale, datti un'altra possibilità per la prossima settimana!;Dus je hebt je intensiteitsdoel voor de week niet gehaald, maar er is altijd een nieuwe week.;;0;neg;;;;;;;
388;Progress takes time - the important thing is that you ARE progressing.;Fortschritt braucht Zeit - das Wichtigste ist, dass du Fortschritte machst.;Fare dei progressi richiede tempo - la cosa importante è che stai andando avanti.;Vooruitgang kost tijd - het belangrijkste is dat je vooruitgaat.;;0;neg;;;;;;;
389;One of the common causes of failure is quitting when you've had one defeat. Don't let this defeat stop you from reaching your goal.;Eine der häufigsten Ursachen für Versagen ist das Beenden der Übungen weil du ein Teilziel nicht erreicht hast. Lass dich von dieser Niederlage nicht davon abhalten, dein Gesamtziel zu erreichen.;Una delle cause più comuni di fallimento è rinunciare dopo una sconfitta. Sii gentile con te stesso e non lasciare che questa sconfitta ti impedisca di raggiungere il tuo obiettivo.;Eén van de meest voorkomende oorzaken van mislukking is stoppen wanneer je één nederlaag hebt geleden. Laat deze nederlaag je er niet van weerhouden je doel te bereiken.;;0;neg;;;;;;;
390;Next week will be a new week,  new exercises.  That will give you another chance to accomplish this, but what matters the most is that you were here this week.  You were committed to keeping up thoses exercises.;Nächste Woche ist einer neue Woche mit neue Übungen. Das gibt dir eine eine neue Chance dein Ziel zu erreichen, aber am wichtigsten ist, dass du diese Woche aktiv warst. Du warst entschlossen deine Übungen durchzuziehen.;La prossima sarà una nuova settimana, con nuovi esercizi. Avrai un'altra possibilità per raggiungere l'obiettivo, ma ciò che conta di più è che sei stato qui questa settimana. Ti sei impegnato a mantenere gli esercizi.;Volgende week wordt een nieuwe week, met nieuwe oefeningen. Dat geeft je weer een kans om dit te bereiken, maar het belangrijkste is dat je hier deze week was. Je was vastbesloten die oefeningen te doen.;;0;neg;;;;;;;
392;You made it to the end, and I must add, you look better than you ever have! Congratulations!;Du hast es bis zum Ende geschafft, und ich muss hinzufügen, du siehst besser aus als je zuvor! Glückwunsch!;Sei arrivato alla fine e immagino che ti senti meglio di sempre! Congratulazioni!;Je hebt het einde gehaald! En ik moet zeggen, je ziet er beter uit dan ooit! Gefeliciteerd!;;0;pos;;;;;;;
403;Quite amazing how you keep it up. And don't you love the way it makes you feel?;Es ist ziemlich bemerkenswert wie du dranbleibst. Und liebst du nicht das Gefühl das du dabei hast?;La tua tenacia è sorprendente. E a te piace il modo in cui ti fa sentire?;Wat goed dat je het volhoudt. En vind je het niet geweldig hoe je je erdoor voelt?;;0;pos;;;;;;;
405;Wow, I am very proud of you! It's great to see how much you've been exercising.;Wow, ich bin sehr stolz auf dich! Es ist großartig zu sehen, wie viel du trainiert hast.;Wow, sono molto orgogliosa di te! È bello vedere quanto ti stai esercitando.;Wow, ik ben heel trots op je! Het is geweldig om te zien hoeveel je bent gaan bewegen.;;0;pos;;;;;;;
409;You're a great role model for other's to look to as they start out their journey into an active lifestyle! Keep it up!;Du bist ein großartiges Vorbild für andere, die mit einem aktiven Lebensstil erst beginnen möchten! Mach weiter!;Sei un ottimo modello da seguire per chi inizia il suo viaggio verso uno stile di vita attivo! Continua così!;Je bent een goed rolmodel voor anderen om te volgen wanneer ze beginnen aan een actieve leefstijl! Hou vol!;;0;pos;;;;;;;
413;I'm really happy you're so committed to this, nice job.;Ich bin wirklich froh, dass du dich so reinhängst, gute Arbeit!;Sono davvero felice dell'impegno che ci hai messo, bel lavoro.;Ik ben heel blij dat je zo gemotiveerd bent om dit te doen, goed werk.;;0;pos;;;;;;;
463;Wow, congratulations at sticking with the program, you've really got determination.;Wow, herzlichen Glückwunsch zum Festhalten am Trainingsprogramm, du zeigst wirklich Entschlossenheit.;Wow, congratulazioni per rispettato il tuo programma, così dimostri di avere molta determinazione.;Wow, gefeliciteerd met het volhouden van het programma, je hebt doorzettingsvermogen.;;0;pos;;;;;;;
464;You must really feel good to have stuck so well with your plan.;Du musst dich wirklich gut fühlen, so an deinem Trainingsplan festzuhalten.;Devi sentirti davvero in gamba per aver definito e seguito così bene il tuo piano.;Het voelt vast heel goed dat je zo goed je plan hebt gevolgd.;;0;pos;;;;;;;
490;You made it through the week!  That wasn't so hard, was it? Keep up the good work!;Du hast es durch die Woche geschafft! Das war nicht so schwer, oder? Mach weiter so!;Hai superato la settimana! Non è stato poi così diffcile, vero? Continua così!;Je hebt deze week volgehouden! Dat was niet zo moeilijk toch? Blijf zo doorgaan!;;0;pos;;;;;;;
520;Having a steady and regular pace is more important than intensity.;Ein gleichmäßiges und regelmäßiges Tempo ist wichtiger als Intensität.;Mantenere un ritmo costante e regolare è più importante dell'intensità.;Een regelmatig tempo aanhouden is belangrijker dan intensiteit.;;0;;da;;;;;;
526;Great job so far, but you shouldn't over work yourself. Please lower your intensity in the next workout.;Großartige Arbeit bisher, aber du solltest dich nicht überanstrengen. Bitte verringere die Intensität beim nächsten Training.;Ottimo lavoro finora, ma stai attento a non affaticarti troppo. Valuta se è il caso di ridurre l'intensità nel prossimo allenamento.;Goed werk tot nu toe, maar je moet niet te veel van jezelf vragen. Verlaag de intensiteit van de volgende training.;;0;;da;;;;;;
527;Good job today, remember to slow down a bit in order to do what it best for your body.;Gute Arbeit heute, denk daran etwas langsamer zu werden, um zu tun, was für deinen Körper am besten ist.;Anche oggi hai fatto un buon lavoro. Ricorda di contattare il tuo corpo, per poi decidere se va bene mantenere questo ritmo o diminuirlo un po'.;Goed gedaan vandaag, denk eraan om het wat rustiger aan te doen zodat je doet wat het beste is voor je lichaam.;;0;;da;;;;;;
534;You did a great job! Maybe next time you should do it a little less intensely.;Du hast eine tolle Arbeit geleistet! Vielleicht solltest du es das nächste Mal etwas weniger intensiv machen.;Hai fatto un buonissimo lavoro! Valuta se va bene continuare così o se meglio diminuire l'intensità.;Je hebt geweldig werk geleverd! Misschien moet je het de volgende keer iets minder intensief doen.;;0;;da;;;;;;
536;You did really great, but try not to overexert yourself next time;Du hast es wirklich toll gemacht, aber versuche dich das nächste Mal nicht zu überanstrengen!;Sei stato davvero bravo, ma stai attento a bilanciare il livello di sforzo nelle tue attività.;Je hebt het echt geweldig gedaan, maar probeer de volgende keer niet te veel te doen;;0;;da;;;;;;
544;Maintaining an intensity at this level is not healthy. Please lower the intensity on your next workout.;Das Aufrechterhalten der Intensität auf diesem Niveau ist nicht gesund. Bitte verringere die Intensität bei deinem nächsten Training.;Mantenere un'intensità di questo livello non è salutare, a meno ché tu non sia un'atleta. Probabilmente è meglio ridurre l'intensità nel prossimo allenamento. ;Het handhaven van een intensiteit op dit niveau is niet gezond. Verlaag de intensiteit bij je volgende training.;;0;;da;;;;;;
545;Fantastic workout. Make sure that you bring down the level of intensity the next time.;Fantastisches Training. Stelle aber sicher, dass du die Intensität beim nächsten Mal verringerst.;Allenamento fantastico. Valuta se è meglio abbassare il livello di intensità la prossima volta.;Fantastische training. Zorg ervoor dat je de intensiteit de volgende keer verlaagt.;;0;;da;;;;;;
550;Great job! Next time though, kick it back a notch.;Gut gemacht! Das nächste Mal aber bitte etwas langsamer.;Ottimo lavoro! La prossima volta, però, prenditi meno sul serio, ammenoché non ti stia allenando per una gara.;Goed werk! Maar neem de volgende keer een stapje terug.;;0;;da;;;;;;
551;No need to do it that intensely. Steadiness is key to good, regular exercise.;Es besteht keine Notwendigkeit das Training so intensiv zu betreiben. Kontinuität ist der Schlüssel zu guter, regelmäßiger Bewegung.;Non c'è bisogno di allenarsi così intensamente. Un buon equilibrio tra sforzo e riposo è la chiave per un esercizio fisico buono e regolare.;Het is niet nodig om het zo intens te doen. Stabiliteit is de sleutel tot goede, regelmatige lichaamsbeweging.;;0;;da;;;;;;
569;Remember what we talked about last time about decreasing the intensity a bit.;Denk daran, worüber wir das letzte Mal gesprochen haben, wir wollen die Intensität heute etwas verringern.;Anche l'ultima volta ti eri esercitato intensamente. Ricorda che è bene rispettare il tuo corpo ed equilibrare sforzo e riposo per mantenere un buon livello di esercizio.;Herinner je waar we het de vorige keer over hadden om de intensiteit een beetje te verminderen.;;0;;db;;;;;;
575;This time keep in mind a slightly lower intensity.;Beachte diesmal die Intensität etwas zu reduzieren.;Questa volta tieni a mente di ridurre leggermente l'intensità.;Houd deze keer rekening met een iets lagere intensiteit.;;0;;db;;;;;;
578;Remember, slower intensity, you got this!;Denk daran, weniger Intensität, du schaffst das!;Fai attenzione, riduci l'intensità!;Onthoud, lagere intensiteit, je kunt het!;;0;;db;;;;;;
579;Alright let's remember to go slow and steady this time around.;Okay, denke daran das Training diesmal langsam und stetig durchzuführen.;Bene, ricordiamoci di andare piano e con calma questa volta.;Laten we eraan denken om deze keer langzaam en regelmatig te bewegen.;;0;;db;;;;;;
580;Remember to keep a nice even pace so you keep up a steady heart rate over your whole exercise.;Denke daran, ein gleichmäßiges Tempo einzuhalten, damit du während deiner gesamten Übung eine konstante Herzfrequenz beibehältst.;Ricorda di mantenere un buon ritmo uniforme in modo da mantenere una frequenza cardiaca costante per tutto l'esercizio.;Vergeet niet om een mooi gelijkmatig tempo aan te houden, zodat je tijdens de hele oefening een constante hartslag behoudt.;;0;;db;;;;;;
584;Remember what we discussed last time, take it easy out there. Don't overexert yourself. Have fun.;Denke daran, was wir das letzte Mal besprochen haben. Überanstrenge dich nicht. Habe Spaß.;Ricorda quello che abbiamo detto l'ultima volta, rilassati. Non sforzarti troppo. Divertiti.;Onthoud wat we de vorige keer hebben besproken, doe het rustig aan. Overbelast jezelf niet. Veel plezier.;;0;;db;;;;;;
625;Don't quit! Starting again from the beginning is more difficult than continuing.;Hör nicht auf! Es ist schwieriger, von vorne zu beginnen, als fortzufahren.;Cerca di non mollare! Ricominciare da capo è più difficile che continuare.;Stop niet! Vanaf het begin opnieuw beginnen is moeilijker dan doorgaan.;;0;;dq;;;;;;
632;There will be a day when you can't do this anymore.  Today is not that day.;Es wird einen Tag geben, an dem du das Training nicht mehr machen können wirst. Heute ist nicht dieser Tag.;Non sei ancora così avanti da non poterti allenare, oggi puoi.;Er komt een dag dat je dit niet meer kunt doen. Vandaag is het niet die dag.;;0;;dq;;;;;;
647;I know it's difficult but think how good you will feel when you're done exercising today.;Ich weiß, dass es schwierig ist, aber denke daran, wie gut du dich fühlen wirst, wenn du heute mit dem Training fertig bist.;So che è difficile, ma pensa a quanto ti sentirai bene quando avrai finito di allenarti oggi.;Ik weet dat het moeilijk is, maar bedenk hoe goed je je zult voelen als je vandaag klaar bent met trainen.;;0;;dq;;;;;;
648;Focus on achieving your daily goal. I know you can do it.;Konzentriere dich darauf, dein tägliches Ziel zu erreichen. Ich weiß, dass du es schaffst.;Prova a concentrarti sul raggiungimento del tuo obiettivo quotidiano. So che puoi farcela.;Richt je op het bereiken van je dagelijkse doel. Ik weet dat je het kan.;;0;;dq;;;;;;
653;Just focus on this activity right now - don't worry about what you already did, don't worry about what's coming.;Konzentrieren dich jetzt auf diese Aktivität - mache dir keine Sorgen darüber, was du bereits getan hast, mache dir keine Sorgen darüber, was noch kommt.;Focalizzati nel qui ed ora, solo su questa attività, adesso - non preoccuparti di ciò che hai già fatto, non preoccuparti di ciò che arriverà;Concentreer je nu gewoon op deze activiteit - maak je geen zorgen over wat je al hebt gedaan, maak je geen zorgen over wat er gaat komen.;;0;;dq;;;;;;
681;You might feel like being lazy today, but working out will pay off tomorrow!;Vielleicht möchtest du heute faul sein, aber das Training zahlt sich bereits morgen aus!;Oggi potresti sentirti un pò giù, spossato, ma allenarti ti ripagherà!;Misschien heb je vandaag zin om lui te zijn, maar sporten loont morgen!;;0;;dq;;;;;;
